,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
202,0.5671920020560374,0.7573832751970014,0.7172886858880864,0.44459667138412884
203,0.587857031006582,0.7950563814230605,0.7537328515299552,0.46494961053519385
204,0.6436526091730527,0.8357612163328065,0.7929953333982495,0.48744014634873334
205,0.6932486786543599,0.8772917866524338,0.8331077081239546,0.510161686047669
206,0.7614432741911574,0.9175625778149118,0.8721144899041485,0.5317143430271452
207,0.8358373784131182,0.9546069378969758,0.907995753430535,0.5515404600389064
208,0.8957659623696979,0.9865527422872943,0.9386497755868041,0.569886894156949
209,0.980492581066931,1.0116099514393782,0.9619599563983711,0.5874508463091785
210,1.0631526968691098,1.027801638986,0.9756209589370572,0.6048460997834619
211,1.0900172345048178,1.0323594980082205,0.9766035468684124,0.6220395855052083
212,1.1272142866157984,1.0214650652263235,0.9609774865097062,0.6378921552231952
213,1.0796847200295454,0.9913326129544167,0.9251690386595867,0.6498775301544993
214,0.9329630144806782,0.9401658443227647,0.8681077234967071,0.6541113905999097
215,0.7428447481356671,0.8694547529030644,0.7924948788445613,0.6460346876447826
216,0.4824653833588042,0.7839339088944037,0.7043856939703969,0.6220019612657433
217,0.27581509385335734,0.6903105064207387,0.6113078556167735,0.5813434017240157
218,0.12082737672427225,0.5955726392031624,0.5200718837896428,0.5277760701039119
219,-0.021761323034486055,0.5057154850843765,0.43543772806594905,0.4691146120381415
220,-0.07549039830590223,0.42496166265779606,0.35974760954845547,0.4151767685612858
221,-0.12921947357731842,0.3555049766889587,0.29332039436982416,0.37489307829598706
222,-0.10235493594161031,0.2976801257466441,0.23518625546630378,0.3539644705875681
223,-0.08168990699106564,0.2502523001100284,0.1836421597088982,0.3538534480255258
224,0.029901249341875647,0.21087470436276162,0.1366748916346031,0.3721278715990713
225,0.10842835935394544,0.17671909973282315,0.09236940530086316,0.40367508579446615
226,0.21382000700172332,0.1450237296483099,0.04916481531932708,0.4421765118466598
227,0.30061312859401096,0.11346128806201204,0.005950670153830434,0.48141934517355034
228,0.3584752096555361,0.0803186568822975,-0.037955435525925875,0.5162423819510206
229,0.44113532545771483,0.04456784039574057,-0.08283121030655631,0.5429795682819797
230,0.42666980519233355,0.005839559900523821,-0.12856600666151555,0.5594060681126632
231,0.4432018283527693,-0.03577833147248244,-0.17482541203162238,0.56449075849407
232,0.4225367994022246,-0.08003601721325657,-0.2213380633950321,0.5582396147613049
233,0.41013778203189777,-0.12670023466902539,-0.2680606878598309,0.541573698484439
234,0.3894727530813531,-0.1754520378148944,-0.3150242340790252,0.5161545700897067
235,0.41013778203189777,-0.22574639883925068,-0.36215616412512797,0.4842747681885905
236,0.4142707878220067,-0.2767916285819016,-0.4092557165337281,0.4488339898116334
237,0.40187177045167993,-0.3274990576035395,-0.4559075434053823,0.4131967869307091
238,0.38740625018629865,-0.37655860399682345,-0.5014721602133606,0.3808011993985626
239,0.39360575887146204,-0.42272518445870155,-0.5452727250070005,0.3546200648213675
240,0.3750072328159718,-0.46502996314198025,-0.5867084530822331,0.33665050808280955
241,0.3440096893901548,-0.5026207421599334,-0.6250017007164086,0.32756429765675743
242,0.3068126372791744,-0.5344040262222187,-0.6587804970623824,0.32658081816346335
243,0.30061312859401096,-0.5593995780604347,-0.6864587771599863,0.33142896916591186
244,0.2530835620077582,-0.5778186020077003,-0.7073850940008236,0.33823036551413665
245,0.2200195156868867,-0.5915866800781722,-0.7224785013697381,0.3417996973048948
246,0.2158865098967778,-0.6035547521822076,-0.7337315482320802,0.3372318406487129
247,0.1621574346253616,-0.6160252685294864,-0.7431854224992921,0.3224224381878978
248,0.05469928408252927,-0.6299221881626967,-0.7524138631476389,0.2997470541157274
249,-0.032093837509758395,-0.6448307802046863,-0.7624395092514133,0.27551606451327143
250,-0.1168204562069916,-0.659410550672558,-0.7736117890988577,0.257510281525623
251,-0.19534756621906138,-0.6721066841610651,-0.7857173128782653,0.25211147650761495
252,-0.2800741849162946,-0.681996668826169,-0.7984773357013288,0.26246008155874323
253,-0.3048722196569482,-0.6891052862343683,-0.811825508566099,0.2881638913932732
254,-0.3565347920333099,-0.6940386899840739,-0.8257249266447889,0.326226101711136
